node	run
USA/PR-CDC-ASC210853121/2022|ON309432.1|2022-04-07	SRR20774109
USA/NM-CDC-QDX39214603/2022|OP170782.1|2022-07-17	SRR20980219
USA/CA-CDC-QDX35917541/2022|ON363764.1|2022-04-12	SRR20537734
USA/MO-CDC-QDX36965205/2022|ON698767.1|2022-05-10	SRR19693862
USA/FL-CDC-QDX35624181/2022|ON311591.1|2022-04-05	SRR20565507
USA/IN-CDC-STM-DEQAFX6DJ/2022|ON689495.1|2022-05-13	SRR19705377
USA/NJ-CDC-QDX35420258/2022|ON270704.1|2022-03-30	SRR20536617
USA/PA-CDC-QDX36315904/2022|ON490095.1|2022-04-25	SRR20575074
USA/CA-CDC-QDX38007692/2022|ON906540.1|2022-06-12	SRR20119416
USA/TX-CDC-QDX37663357/2022|ON828662.1|2022-06-03	SRR19946282
USA/TX-CDC-QDX35823919/2022|ON336345.1|2022-04-10	SRR20505104
USA/MN-CDC-STM-K5BSUWM2C/2022|ON232050.1|2022-03-29	SRR19106138
USA/NJ-CDC-QDX35823774/2022|ON336067.1|2022-04-10	SRR20505166
USA/CA-CDC-QDX38473921/2022|OP009025.1|2022-06-27	SRR20305299
USA/PA-CDC-QDX36606629/2022|ON602567.1|2022-05-02	SRR20794843
USA/MP-CDC-2-5838738/2022|ON318500.1|2022-03-06	SRR21432827
USA/NY-CDC-ASC210737849/2022|ON144422.1|2022-03-22	SRR21346832
USA/FL-CDC-QDX34290221/2022|OM998480.1|2022-02-23	SRR20393485
USA/MP-CDC-2-5802637/2022|ON260323.1|2022-02-28	SRR21439112
USA/PR-CDC-ASC210721769/2022|ON236379.1|2022-03-31	SRR21343215
USA/TX-CDC-QDX35823923/2022|ON336360.1|2022-04-10	SRR20505101
USA/NV-CDC-QDX38007139/2022|ON905841.1|2022-06-09	SRR20118704
USA/WA-CDC-QDX35917447/2022|ON382673.1|2022-04-12	SRR20344359
USA/NM-CDC-2-6165322/2022|ON998335.1|2022-06-15	SRR21131034
USA/MP-CDC-2-5839144/2022|ON318629.1|2022-03-10	SRR21432734
USA/OH-CDC-QDX36112176/2022|ON452104.1|2022-04-19	SRR20569961
USA/NM-CDC-QDX35734163/2022|ON334769.1|2022-04-05	SRR20506322
USA/MD-CDC-QDX36111259/2022|ON452162.1|2022-04-19	SRR20568925
USA/CA-CDC-QDX37346317/2022|ON744262.1|2022-05-22	SRR19720358
USA/FL-CDC-STM-9M5J7ENZ9/2022|ON389309.1|2022-04-15	SRR21652136
USA/PA-CDC-QDX35733785/2022|ON362676.1|2022-04-07	SRR20537676
USA/PA-CDC-QDX36714295/2022|ON574441.1|2022-05-07	SRR20781737
USA/NY-CDC-QDX35868502/2022|ON363545.1|2022-04-11	SRR20537235
USA/PA-CDC-QDX35974479/2022|ON458293.1|2022-04-14	SRR20572197
USA/MI-CDC-QDX37912287/2022|ON867733.1|2022-06-09	SRR19959413
USA/VT-Broad-CRSP_BSBAZO4APUX33JZW/2022|ON321120.1|2022-04-03	SRR18886923
USA/IL-CDC-STM-KXZXT8XKR/2022|ON655554.1|2022-05-21	SRR20581721
USA/FL-CDC-STM-T6A8Z5VCH/2022|ON294457.1|2022-04-03	SRR19105275
USA/NJ-CDC-QDX37054611/2022|ON925775.1|2022-05-16	SRR20124299
USA/TX-CDC-STM-QXCMG2NM5/2022|OP025786.1|2022-07-09	SRR20376169
USA/CA-CDC-QDX39078984/2022|OP126264.1|2022-07-13	SRR20915991
USA/CO-CDC-2-6261958/2022|OP292335.1|2022-07-08	SRR21230834
USA/CA-CDC-STM-AN8HZVPNB/2022|OP147609.1|2022-07-19	SRR20909109
USA/MP-CDC-2-5876378/2022|ON384212.1|2022-03-25	SRR21433337
USA/IL-CDC-QDX35624703/2022|ON311625.1|2022-04-05	SRR20565694
USA/FL-CDC-ASC210721481/2022|ON250356.1|2022-03-30	SRR21341513
USA/NJ-CDC-ASC210850559/2022|ON252304.1|2022-04-04	SRR21340670
USA/OR-CDC-ASC210859697/2022|OM862675.1|2022-02-16	SRR21344901
USA/VI-CDC-2-5419304/2021|OM461240.1|2021-12-31	SRR21438201
USA/FL-CDC-STM-V8QF4J5MV/2022|OM528050.1|2022-01-19	SRR19069645
USA/CO-CDC-ASC210562243/2021|OM290822.1|2021-12-29	SRR20870158
USA/MA-CDCBI-CRSP_LUFUYT375FXWPR4H/2022|OM954744.1|2022-02-28	SRR18281377
USA/NC-CDC-QDX33832252/2022|OM843825.1|2022-02-12	SRR20391345
USA/VI-CDC-2-5419238/2021|OM461145.1|2021-12-29	SRR21437987
